municipality,unit,year,price_sek_m2,houses_price_value_ratio,treatment,,,,,,,,,,,,
Skellefteå,1,1996,,0.4,0,,,,,,,,,,,,
Östersund,2,1996,,0.42,0,,,,,,,,,,,,
Sundsvall,3,1996,,0.39,0,,,,,,,,,,,,
Mora,4,1996,,0.39,0,,,,,,,,,,,,
Sandviken,5,1996,,0.45,0,,,,,,,,,,,,
Ösrnsköldsvik,6,1996,,0.52,0,,,,,,,,,,,,
Härnösand,7,1996,,0.57,0,,,,,,,,,,,,
Luleå,8,1996,,0.34,0,,,,,,,,,,,,
Skellefteå,1,1997,,0.43,0,,,,,,,,,,,,
Östersund,2,1997,,0.45,0,,,,,,,,,,,,
Sundsvall,3,1997,,0.4,0,,,,,,,,,,,,
Mora,4,1997,,0.4,0,,,,,,,,,,,,
Sandviken,5,1997,,0.47,0,,,,,,,,,,,,
Ösrnsköldsvik,6,1997,,0.56,0,,,,,,,,,,,,
Härnösand,7,1997,,0.61,0,,,,,,,,,,,,
Luleå,8,1997,,0.36,0,,,,,,,,,,,,
Skellefteå,1,1998,,0.44,0,,,,,,,,,,,,
Östersund,2,1998,,0.46,0,,,,,,,,,,,,
Sundsvall,3,1998,,0.43,0,,,,,,,,,,,,
Mora,4,1998,,0.43,0,,,,,,,,,,,,
Sandviken,5,1998,,0.49,0,,,,,,,,,,,,
Ösrnsköldsvik,6,1998,,0.58,0,,,,,,,,,,,,
Härnösand,7,1998,,0.63,0,,,,,,,,,,,,
Luleå,8,1998,,0.39,0,,,,,,,,,,,,
Skellefteå,1,1999,,0.47,0,,,,,,,,,,,,
Östersund,2,1999,,0.48,0,,,,,,,,,,,,
Sundsvall,3,1999,,0.46,0,,,,,,,,,,,,
Mora,4,1999,,0.46,0,,,,,,,,,,,,
Sandviken,5,1999,,0.49,0,,,,,,,,,,,,
Ösrnsköldsvik,6,1999,,0.61,0,,,,,,,,,,,,
Härnösand,7,1999,,0.66,0,,,,,,,,,,,,
Luleå,8,1999,,0.43,0,,,,,,,,,,,,
Skellefteå,1,2000,,0.47,0,,,,1999,0,2628,1786,,,,,
Östersund,2,2000,,0.53,0,,,,1997,"0,43","0,45","0,4","0,43","0,47","0,56","0,61","0,36"
Sundsvall,3,2000,,0.47,0,,,,,,,,,,,,
Mora,4,2000,,0.47,0,,,,,,,,,,,,
Sandviken,5,2000,,0.52,0,,,,,,,,,,,,
Ösrnsköldsvik,6,2000,,0.59,0,,,,,,,,,,,,
Härnösand,7,2000,,0.65,0,,,,,,,,,,,,
Luleå,8,2000,,0.46,0,,,,,,,,,,,,
Skellefteå,1,2001,,0.48,0,,,,2000,0,2375,2314,,,,,
Östersund,2,2001,,0.57,0,,,,1998,"0,44","0,46","0,43","0,47","0,49","0,58","0,63","0,39"
Sundsvall,3,2001,,0.49,0,,,,,,,,,,,,
Mora,4,2001,,0.49,0,,,,,,,,,,,,
Sandviken,5,2001,,0.56,0,,,,,,,,,,,,
Ösrnsköldsvik,6,2001,,0.62,0,,,,,,,,,,,,
Härnösand,7,2001,,0.67,0,,,,,,,,,,,,
Luleå,8,2001,,0.51,0,,,,,,,,,,,,
Skellefteå,1,2002,,0.5,0,,,,2001,0,3417,2398,,,,,
Östersund,2,2002,,0.61,0,,,,1999,"0,47","0,48","0,46","0,48","0,49","0,61","0,66","0,43"
Sundsvall,3,2002,,0.52,0,,,,,,,,,,,,
Mora,4,2002,,0.52,0,,,,,,,,,,,,
Sandviken,5,2002,,0.59,0,,,,,,,,,,,,
Ösrnsköldsvik,6,2002,,0.68,0,,,,,,,,,,,,
Härnösand,7,2002,,0.68,0,,,,,,,,,,,,
Luleå,8,2002,,0.51,0,,,,,,,,,,,,
Skellefteå,1,2003,,0.52,0,,,,2002,0,3735,2208,,,,,
Östersund,2,2003,,0.66,0,,,,2000,"0,47","0,53","0,47","0,46","0,52","0,59","0,65","0,46"
Sundsvall,3,2003,,0.55,0,,,,,,,,,,,,
Mora,4,2003,,0.55,0,,,,,,,,,,,,
Sandviken,5,2003,,0.59,0,,,,,,,,,,,,
Ösrnsköldsvik,6,2003,,0.64,0,,,,,,,,,,,,
Härnösand,7,2003,,0.71,0,,,,,,,,,,,,
Luleå,8,2003,,0.52,0,,,,,,,,,,,,
Skellefteå,1,2004,,0.53,0,,,,2003,0,4117,2845,,,,,
Östersund,2,2004,,0.68,0,,,,2001,"0,48","0,57","0,49","0,5","0,56","0,62","0,67","0,51"
Sundsvall,3,2004,,0.58,0,,,,,,,,,,,,
Mora,4,2004,,0.58,0,,,,,,,,,,,,
Sandviken,5,2004,,0.67,0,,,,,,,,,,,,
Ösrnsköldsvik,6,2004,,0.74,0,,,,,,,,,,,,
Härnösand,7,2004,,0.72,0,,,,,,,,,,,,
Luleå,8,2004,,0.58,0,,,,,,,,,,,,
Skellefteå,1,2005,,0.65,0,,,,2004,0,4378,3466,,,,,
Östersund,2,2005,,0.69,0,,,,2002,"0,5","0,61","0,52","0,54","0,59","0,68","0,68","0,51"
Sundsvall,3,2005,,0.68,0,,,,,,,,,,,,
Mora,4,2005,,0.68,0,,,,,,,,,,,,
Sandviken,5,2005,,0.74,0,,,,,,,,,,,,
Ösrnsköldsvik,6,2005,,0.8,0,,,,,,,,,,,,
Härnösand,7,2005,,0.73,0,,,,,,,,,,,,
Luleå,8,2005,,0.71,0,,,,,,,,,,,,
Skellefteå,1,2006,3311,0.71,0,,,,2005,2784,5400,4194,,,,,
Östersund,2,2006,,0.77,0,,,,2003,"0,52","0,66","0,55","0,53","0,59","0,64","0,71","0,52"
Sundsvall,3,2006,,0.76,0,,,,,,,,,,,,
Mora,4,2006,,0.76,0,,,,,,,,,,,,
Sandviken,5,2006,,0.81,0,,,,,,,,,,,,
Ösrnsköldsvik,6,2006,,0.92,0,,,,,,,,,,,,
Härnösand,7,2006,,0.77,0,,,,,,,,,,,,
Luleå,8,2006,,0.72,0,,,,,,,,,,,,
Skellefteå,1,2007,4201,0.81,0,,,,2006,3311,6348,5233,,,,,
Östersund,2,2007,,0.89,0,,,,2004,"0,53","0,68","0,58","0,63","0,67","0,74","0,72","0,58"
Sundsvall,3,2007,,0.8,0,,,,,,,,,,,,
Mora,4,2007,,0.8,0,,,,,,,,,,,,
Sandviken,5,2007,,0.9,0,,,,,,,,,,,,
Ösrnsköldsvik,6,2007,,1.01,0,,,,,,,,,,,,
Härnösand,7,2007,,0.89,0,,,,,,,,,,,,
Luleå,8,2007,,0.77,0,,,,,,,,,,,,
Skellefteå,1,2008,3821,0.83,0,,,,2007,4201,7892,6431,,,,,
Östersund,2,2008,,0.92,0,,,,2005,"0,65","0,69","0,68","0,7","0,74","0,8","0,73","0,71"
Sundsvall,3,2008,,0.83,0,,,,,,,,,,,,
Mora,4,2008,,0.83,0,,,,,,,,,,,,
Sandviken,5,2008,,0.93,0,,,,,,,,,,,,
Ösrnsköldsvik,6,2008,,1.03,0,,,,,,,,,,,,
Härnösand,7,2008,,0.89,0,,,,,,,,,,,,
Luleå,8,2008,,0.81,0,,,,,,,,,,,,
Skellefteå,1,2009,4706,0.82,0,,,,2008,3821,8223,6825,,,,,
Östersund,2,2009,,0.95,0,,,,2006,"0,71","0,77","0,76","0,76","0,81","0,92","0,77","0,72"
Sundsvall,3,2009,,0.88,0,,,,,,,,,,,,
Mora,4,2009,,0.88,0,,,,,,,,,,,,
Sandviken,5,2009,,0.94,0,,,,,,,,,,,,
Ösrnsköldsvik,6,2009,,1.09,0,,,,,,,,,,,,
Härnösand,7,2009,,0.94,0,,,,,,,,,,,,
Luleå,8,2009,,0.82,0,,,,,,,,,,,,
Skellefteå,1,2010,4651,0.83,0,,,,2009,4706,9065,6739,,,,,
Östersund,2,2010,,1,0,,,,2007,"0,81","0,89","0,8","0,84","0,9","1,01","0,89","0,77"
Sundsvall,3,2010,,0.91,0,,,,,,,,,,,,
Mora,4,2010,,0.91,0,,,,,,,,,,,,
Sandviken,5,2010,,0.96,0,,,,,,,,,,,,
Ösrnsköldsvik,6,2010,,1.03,0,,,,,,,,,,,,
Härnösand,7,2010,,0.99,0,,,,,,,,,,,,
Luleå,8,2010,,0.92,0,,,,,,,,,,,,
Skellefteå,1,2011,5912,0.84,0,,,,2010,4651,10204,7155,,,,,
Östersund,2,2011,,1.04,0,,,,2008,"0,83","0,92","0,83","0,9","0,93","1,03","0,89","0,81"
Sundsvall,3,2011,,0.89,0,,,,,,,,,,,,
Mora,4,2011,,0.89,0,,,,,,,,,,,,
Sandviken,5,2011,,0.94,0,,,,,,,,,,,,
Ösrnsköldsvik,6,2011,,1.04,0,,,,,,,,,,,,
Härnösand,7,2011,,0.99,0,,,,,,,,,,,,
Luleå,8,2011,,0.93,0,,,,,,,,,,,,
Skellefteå,1,2012,6875,0.89,0,,,,2011,5912,11051,7179,,,,,
